"data"	"variant"	"q"	"k"	"l"	"Tani"	"filesizea"	"filesizeb"	"realpositives"	"tp"	"fp"	"tn"	"fn"	"recall"	"precision"	"Fmeasure"	"RMSE"
"German Telephone CD 20% errors"	"Standard CLK k = 15"	"2"	"15"	"500"	"0.95"	"10000"	"10000"	"10000"	"8100"	"0"	"1900"	"99990000"	"0.81"	"1"	"0.905"	NA
"German Telephone CD 20% errors"	"Standard CLK k = 15"	"2"	"15"	"500"	"0.9"	"10000"	"10000"	"10000"	"8199"	"0"	"1801"	"99990000"	"0.8199"	"1"	"0.90995"	NA
"German Telephone CD 20% errors"	"Standard CLK k = 15"	"2"	"15"	"500"	"0.85"	"10000"	"10000"	"10000"	"8429"	"1"	"1571"	"99989999"	"0.8429"	"0.99988137603796"	"0.92139068801898"	NA
"German Telephone CD 20% errors"	"Standard CLK k = 15"	"2"	"15"	"500"	"0.8"	"10000"	"10000"	"10000"	"8712"	"6"	"1288"	"99989994"	"0.8712"	"0.999311768754301"	"0.935255884377151"	NA
"German Telephone CD 20% errors"	"Optimal Parameter choice (LM)"	"1"	"12"	"500"	"1"	"10000"	"10000"	"10000"	"8481"	"1"	"1519"	"99989999"	"0.8481"	"0.999882103277529"	"0.923991051638764"	"0.0201802832258782"
"German Telephone CD 20% errors"	"Optimal Parameter choice (LM)"	"1"	"12"	"500"	"0.95"	"10000"	"10000"	"10000"	"8871"	"13"	"1129"	"99989987"	"0.8871"	"0.99853669518235"	"0.942818347591175"	"0.0201802832258782"
"German Telephone CD 20% errors"	"Optimal Parameter choice (LM)"	"1"	"12"	"500"	"0.9"	"10000"	"10000"	"10000"	"9501"	"77"	"499"	"99989923"	"0.9501"	"0.991960743370223"	"0.971030371685112"	"0.0201802832258782"
"German Telephone CD 20% errors"	"Optimal Parameter choice (LM)"	"1"	"12"	"500"	"0.85"	"10000"	"10000"	"10000"	"9829"	"694"	"171"	"99989306"	"0.9829"	"0.934049225506034"	"0.958474612753017"	"0.0201802832258782"
"German Telephone CD 20% errors"	"Optimal Parameter choice (LM)"	"1"	"12"	"500"	"0.8"	"10000"	"10000"	"10000"	"9950"	"4224"	"50"	"99985776"	"0.995"	"0.701989558346268"	"0.848494779173134"	"0.0201802832258782"
"German Telephone CD 20% errors"	"Optimal Parameter choice (BIC)"	"1"	"1"	"500"	"1"	"10000"	"10000"	"10000"	"8494"	"1"	"1506"	"99989999"	"0.8494"	"0.999882283696292"	"0.924641141848146"	"0.0190468132254322"
